40
0 8
8 8
16 8
24 12
36 8
44 12
56 8
64 12
76 8
84 12
96 8
104 12
116 8
124 12
136 8
144 12
156 8
164 12
176 8
184 12
196 8
204 12
216 8
224 12
236 8
244 12
256 8
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 8
344 12
356 8
364 12
376 8
384 12
c771 44 632
c772 124 423
c773 84 519
c774 124 445
c775 84 581
c776 104 574
c777 124 522
c778 84 569
c779 84 528
c780 44 770
c781 104 453
c782 124 528
c783 84 617
c784 44 745
c785 104 510
c786 24 563
c787 124 773
c788 144 558
c789 64 601
c790 124 656
c791 24 782
c792 104 557
c793 164 511
c794 104 745
c795 84 606
c796 164 569
c797 124 733
c798 124 579
c799 104 571
c800 84 772
c801 44 708
c802 104 582
c803 204 697
c804 44 773
c805 184 752
c806 64 649
c807 64 747
c808 164 682
c809 204 787
c810 44 785
c811 164 592
c812 164 697
c813 184 649
c814 124 665
c815 204 677
c816 224 637
c817 164 752
c818 104 787
c819 164 777
c820 244 712
c821 224 618
c822 244 733
c823 96 0
c824 136 33
c825 76 69
c826 116 0
c827 36 0
c828 36 45
c829 96 81
c830 96 45
c831 8 3
c832 96 54
c833 56 59
c834 76 45
c835 116 3
c836 96 6
c837 116 78
c838 76 12
c839 96 156
c840 96 75
c841 176 72
c842 76 120
c843 56 130
c844 16 30
c845 136 0
c846 96 195
c847 116 102
c848 96 66
c849 96 87
c850 56 25
c851 56 226
c852 156 45
c853 56 171
c854 116 45
c855 76 147
c856 76 72
c857 36 42
c858 36 63
c859 96 135
c860 16 15
c861 36 108
c862 96 93
c863 76 162
c864 56 262
c865 136 96
c866 156 246
c867 156 129
c868 56 274
c869 76 198
c870 36 54
c871 8 320
c872 16 39
c873 8 97
c874 76 237
c875 136 213
c876 16 54
c877 96 237
c878 76 183
c879 36 132
c880 76 210
c881 56 168
c882 136 252
c883 96 267
c884 156 144
c885 36 126
c886 116 213
c887 116 234
c888 96 288
c889 96 180
c890 156 213
c891 76 144
c892 96 207
c893 116 123
c894 8 372
c895 96 234
c896 76 156
c897 56 304
c898 96 261
c899 96 240
c900 76 270
c901 136 363
c902 56 386
c903 76 201
c904 116 273
c905 76 207
c906 56 516
c907 16 60
c908 56 662
c909 56 352
c910 76 222
c911 76 294
c912 16 75
c913 76 273
c914 76 336
c915 36 174
c916 56 477
c917 36 159
c918 76 303
c919 8 502
c920 96 366
c921 116 315
c922 76 231
c923 36 186
c924 156 321
c925 56 565
c926 76 327
c927 56 571
c928 96 441
c929 76 288
c930 56 525
c931 36 198
c932 76 342
c933 56 643
c934 56 602
c935 76 348
c936 16 117
c937 56 649
c938 56 630
c939 96 447
c940 56 678
c941 156 429
c942 96 390
c943 136 369
c944 116 429
c945 156 297
c946 96 426
c947 76 360
c948 16 165
c949 116 483
c950 76 366
c951 36 243
c952 96 453
c953 76 378
c954 76 357
c955 0 168
c956 56 737
c957 76 411
c958 0 162
c959 96 501
c960 8 794
c961 76 402
c962 136 543
c963 156 492
c964 116 537
c965 36 273
c966 96 483
c967 136 45
c968 56 0
c969 56 80
c970 136 60
c971 76 39
c972 116 39
c973 176 42
c974 56 3
c975 56 9
c976 56 15
c977 96 21
c978 36 36
c979 156 78
c980 156 33
c981 176 69
c982 16 24
c983 136 69
c984 96 69
c985 56 203
c986 96 72
c987 76 60
c988 96 105
c989 36 18
c990 96 51
c991 56 116
c992 36 30
c993 76 114
c994 96 39
c995 56 265
c996 76 177
c997 96 111
c998 96 174
c999 36 24
c1000 16 3
c1001 56 193
c1002 56 187
c1003 76 93
c1004 116 174
c1005 56 241
c1006 116 195
c1007 56 247
c1008 116 201
c1009 116 9
c1010 116 69
c1011 136 150
c1012 56 250
c1013 136 168
c1014 76 180
c1015 96 210
c1016 136 198
c1017 116 282
c1018 136 177
c1019 116 264
c1020 96 129
c1021 76 153
c1022 96 216
c1023 136 207
c1024 116 144
c1025 96 114
c1026 116 186
c1027 96 228
c1028 56 268
c1029 116 258
c1030 96 399
c1031 16 84
c1032 76 192
c1033 156 165
c1034 136 270
c1035 96 327
c1036 96 294
c1037 116 300
c1038 116 276
c1039 116 378
c1040 96 300
c1041 56 349
c1042 36 156
c1043 136 282
c1044 16 123
c1045 76 315
c1046 76 258
c1047 16 108
c1048 56 506
c1049 156 288
c1050 96 312
c1051 56 522
c1052 156 366
c1053 96 357
c1054 56 471
c1055 136 471
c1056 16 96
c1057 36 99
c1058 136 354
c1059 116 321
c1060 96 417
c1061 36 192
c1062 96 309
c1063 96 345
c1064 116 381
c1065 76 279
c1066 56 727
c1067 56 559
c1068 136 432
c1069 76 300
c1070 116 384
c1071 76 297
c1072 36 144
c1073 116 405
c1074 36 225
c1075 96 324
c1076 136 336
c1077 16 129
c1078 56 562
c1079 36 207
c1080 56 578
c1081 136 417
c1082 56 665
c1083 56 633
c1084 116 438
c1085 176 477
c1086 56 707
c1087 136 558
c1088 36 261
c1089 136 504
c1090 76 309
c1091 56 585
c1092 136 438
c1093 56 690
c1094 96 411
c1095 136 537
c1096 36 258
c1097 136 507
c1098 156 432
c1099 116 456
c1100 76 354
c1101 76 405
c1102 116 540
c1103 56 794
c1104 116 513
c1105 156 444
c1106 76 384
c1107 8 717
c1108 84 160
c1109 84 14
c1110 64 155
c1111 84 85
c1112 124 0
c1113 84 140
c1114 64 20
c1115 84 157
c1116 144 0
c1117 124 3
c1118 104 89
c1119 104 49
c1120 124 9
c1121 124 200
c1122 64 23
c1123 124 91
c1124 84 100
c1125 144 143
c1126 124 99
c1127 64 29
c1128 84 103
c1129 144 146
c1130 84 228
c1131 124 54
c1132 144 14
c1133 64 176
c1134 104 197
c1135 104 183
c1136 124 214
c1137 144 209
c1138 164 153
c1139 84 292
c1140 104 117
c1141 64 149
c1142 104 257
c1143 104 155
c1144 104 269
c1145 124 220
c1146 124 286
c1147 124 489
c1148 104 386
c1149 64 227
c1150 84 315
c1151 104 447
c1152 104 363
c1153 104 286
c1154 64 568
c1155 64 476
c1156 104 322
c1157 164 316
c1158 64 407
c1159 84 478
c1160 104 403
c1161 124 206
c1162 144 403
c1163 64 641
c1164 124 461
c1165 124 363
c1166 64 559
c1167 84 510
c1168 24 484
c1169 104 406
c1170 124 495
c1171 124 301
c1172 144 422
c1173 164 478
c1174 104 668
c1175 84 575
c1176 104 614
c1177 144 300
c1178 144 431
c1179 84 623
c1180 84 329
c1181 64 621
c1182 44 606
c1183 104 594
c1184 144 477
c1185 124 685
c1186 64 482
c1187 84 676
c1188 144 501
c1189 164 551
c1190 164 497
c1191 164 489
c1192 124 624
c1193 84 555
c1194 144 574
c1195 84 692
c1196 164 665
c1197 124 612
c1198 124 621
c1199 124 615
c1200 84 750
c1201 144 647
c1202 124 748
c1203 144 600
c1204 144 760
c1205 104 674
c1206 164 717
c1207 184 586
c1208 244 736
c1209 204 767
c1210 184 700
c1211 84 724
c1212 164 711
c1213 144 683
c1214 184 717
c1215 184 746
c1216 124 673
c1217 164 685
c1218 144 780
c1219 224 725
c1220 244 739
c1221 224 733
c1222 204 669
c1223 84 76
c1224 144 43
c1225 184 144
c1226 64 114
c1227 84 22
c1228 84 208
c1229 124 82
c1230 124 17
c1231 64 111
c1232 64 196
c1233 144 28
c1234 124 23
c1235 104 17
c1236 84 30
c1237 104 25
c1238 84 82
c1239 84 211
c1240 164 141
c1241 84 151
c1242 64 38
c1243 124 175
c1244 144 186
c1245 124 151
c1246 164 271
c1247 144 123
c1248 144 175
c1249 84 269
c1250 144 57
c1251 84 383
c1252 64 224
c1253 44 382
c1254 124 42
c1255 104 203
c1256 124 186
c1257 64 252
c1258 144 137
c1259 44 264
c1260 124 245
c1261 124 360
c1262 124 192
c1263 104 334
c1264 124 271
c1265 124 277
c1266 104 200
c1267 124 217
c1268 144 297
c1269 64 347
c1270 124 398
c1271 144 380
c1272 104 541
c1273 144 374
c1274 104 298
c1275 64 287
c1276 144 340
c1277 124 401
c1278 84 496
c1279 144 322
c1280 104 439
c1281 104 532
c1282 104 360
c1283 124 472
c1284 124 289
c1285 144 469
c1286 44 595
c1287 124 343
c1288 144 395
c1289 104 342
c1290 44 421
c1291 144 452
c1292 104 524
c1293 144 308
c1294 184 399
c1295 44 683
c1296 64 655
c1297 104 478
c1298 124 511
c1299 84 490
c1300 124 595
c1301 44 663
c1302 84 592
c1303 144 437
c1304 84 536
c1305 144 495
c1306 164 432
c1307 144 669
c1308 104 608
c1309 124 469
c1310 184 564
c1311 164 466
c1312 144 709
c1313 144 641
c1314 204 694
c1315 124 630
c1316 164 575
c1317 84 730
c1318 104 688
c1319 64 769
c1320 144 689
c1321 124 725
c1322 124 536
c1323 184 785
c1324 64 627
c1325 184 627
c1326 204 688
c1327 104 633
c1328 204 751
c1329 204 723
c1330 144 717
c1331 224 741
c1332 144 757
c1333 184 791
c1334 244 742
c1335 164 633
c1336 164 780
c1337 224 749
c1338 244 745
c1339 124 765
c1340 244 640
c1341 104 734
c1342 156 0
c1343 136 3
c1344 136 6
c1345 136 24
c1346 116 15
c1347 116 60
c1348 156 51
c1349 116 96
c1350 36 6
c1351 116 18
c1352 136 36
c1353 96 24
c1354 156 57
c1355 116 54
c1356 136 78
c1357 96 9
c1358 96 15
c1359 136 105
c1360 136 27
c1361 96 78
c1362 116 33
c1363 36 60
c1364 196 78
c1365 136 123
c1366 96 60
c1367 176 105
c1368 76 123
c1369 116 171
c1370 96 189
c1371 136 66
c1372 156 135
c1373 76 129
c1374 36 48
c1375 116 87
c1376 116 162
c1377 96 126
c1378 76 171
c1379 196 234
c1380 96 150
c1381 176 135
c1382 76 99
c1383 56 145
c1384 156 81
c1385 96 219
c1386 156 147
c1387 76 168
c1388 156 75
c1389 136 228
c1390 136 117
c1391 136 246
c1392 156 111
c1393 156 90
c1394 176 249
c1395 96 165
c1396 96 243
c1397 116 210
c1398 136 159
c1399 136 141
c1400 56 256
c1401 136 243
c1402 156 225
c1403 76 108
c1404 176 237
c1405 196 330
c1406 136 234
c1407 96 168
c1408 96 204
c1409 116 240
c1410 136 291
c1411 116 270
c1412 116 246
c1413 136 273
c1414 176 312
c1415 136 258
c1416 136 222
c1417 116 342
c1418 76 282
c1419 116 249
c1420 96 333
c1421 76 228
c1422 176 309
c1423 156 276
c1424 96 291
c1425 116 351
c1426 156 255
c1427 76 249
c1428 116 369
c1429 76 219
c1430 216 435
c1431 96 306
c1432 116 414
c1433 56 383
c1434 136 426
c1435 116 390
c1436 116 309
c1437 96 339
c1438 76 312
c1439 116 336
c1440 36 165
c1441 96 378
c1442 116 444
c1443 116 357
c1444 96 423
c1445 176 441
c1446 176 444
c1447 176 468
c1448 136 525
c1449 36 201
c1450 96 318
c1451 116 393
c1452 56 539
c1453 116 408
c1454 96 363
c1455 96 351
c1456 176 405
c1457 76 345
c1458 76 339
c1459 176 546
c1460 76 399
c1461 116 441
c1462 76 372
c1463 96 405
c1464 156 420
c1465 136 465
c1466 116 507
c1467 76 321
c1468 96 471
c1469 136 393
c1470 56 721
c1471 156 516
c1472 76 390
c1473 116 420
c1474 136 423
c1475 136 441
c1476 156 453
c1477 136 498
c1478 156 405
c1479 136 564
c1480 156 408
c1481 136 594
c1482 116 543
c1483 116 519
c1484 116 498
c1485 104 31
c1486 124 26
c1487 204 49
c1488 164 80
c1489 104 37
c1490 164 35
c1491 84 36
c1492 124 79
c1493 144 195
c1494 64 32
c1495 84 60
c1496 144 114
c1497 204 108
c1498 124 51
c1499 124 34
c1500 144 217
c1501 144 106
c1502 104 60
c1503 124 135
c1504 144 20
c1505 124 169
c1506 84 169
c1507 144 60
