39
0 12
12 12
24 12
36 12
48 12
60 8
68 12
80 8
88 12
100 8
108 12
120 8
128 12
140 8
148 12
160 8
168 12
180 8
188 12
200 8
208 12
220 8
228 12
240 8
248 12
260 8
268 12
280 8
288 12
300 8
308 12
320 8
328 12
340 8
348 12
360 8
c864 160 33
c865 220 12
c866 240 84
c867 240 30
c868 140 48
c869 160 75
c870 120 33
c871 100 132
c872 120 102
c873 100 21
c874 160 126
c875 220 60
c876 120 138
c877 180 129
c878 160 90
c879 140 147
c880 160 120
c881 140 63
c882 220 78
c883 200 135
c884 240 87
c885 140 138
c886 200 108
c887 200 117
c888 180 204
c889 180 135
c890 240 105
c891 160 108
c892 180 171
c893 220 66
c894 120 213
c895 200 138
c896 180 150
c897 160 162
c898 180 219
c899 180 213
c900 180 255
c901 220 189
c902 140 216
c903 160 174
c904 200 198
c905 160 186
c906 220 255
c907 160 240
c908 240 207
c909 140 231
c910 180 249
c911 240 213
c912 200 207
c913 240 168
c914 240 270
c915 128 8
c916 168 0
c917 148 3
c918 168 39
c919 108 28
c920 188 34
c921 208 26
c922 168 17
c923 128 44
c924 248 96
c925 148 52
c926 168 82
c927 148 64
c928 188 108
c929 168 79
c930 148 61
c931 128 91
c932 168 118
c933 148 117
c934 148 100
c935 168 140
c936 108 119
c937 148 126
c938 168 132
c939 188 147
c940 148 135
c941 228 196
c942 188 123
c943 228 143
c944 208 150
c945 248 175
c946 188 153
c947 168 179
c948 108 238
c949 208 212
c950 168 193
c951 128 203
c952 188 184
c953 168 216
c954 168 207
c955 88 234
c956 168 249
c957 128 275
c958 88 248
c959 148 240
c960 128 30
c961 188 0
c962 248 20
c963 268 35
c964 228 66
c965 148 40
c966 208 29
c967 248 84
c968 148 34
c969 148 58
c970 228 106
c971 168 76
c972 208 76
c973 268 87
c974 148 46
c975 168 51
c976 168 31
c977 188 57
c978 128 116
c979 248 172
c980 248 141
c981 268 151
c982 128 147
c983 228 151
c984 188 111
c985 168 161
c986 208 126
c987 188 114
c988 208 156
c989 128 125
c990 188 120
c991 148 132
c992 128 139
c993 188 161
c994 188 135
c995 168 213
c996 188 187
c997 188 172
c998 188 215
c999 148 138
c1000 128 161
c1001 148 178
c1002 148 189
c1003 168 196
c1004 188 238
c1005 148 234
c1006 168 294
c1007 168 263
c1008 128 281
c1009 208 172
c1010 208 215
c1011 248 0
c1012 168 8
c1013 248 23
c1014 188 8
c1015 208 64
c1016 248 49
c1017 208 91
c1018 268 58
c1019 228 100
c1020 208 20
c1021 188 22
c1022 208 82
c1023 248 69
c1024 228 23
c1025 208 41
c1026 228 72
c1027 208 97
c1028 168 70
c1029 228 131
c1030 208 181
c1031 128 136
c1032 188 85
c1033 268 116
c1034 248 163
c1035 208 178
c1036 208 141
c1037 208 144
c1038 208 132
c1039 228 229
c1040 208 164
c1041 168 143
c1042 148 149
c1043 248 218
c1044 128 235
c1045 188 218
c1046 188 181
c1047 128 226
c1048 148 195
c1049 268 282
c1050 228 241
c1051 168 255
c1052 88 266
c1053 168 297
c1054 188 209
c1055 128 287
c1056 148 237
c1057 148 157
c1058 268 0
c1059 228 0
c1060 228 60
c1061 168 23
c1062 228 8
c1063 208 35
c1064 228 43
c1065 188 16
c1066 168 96
c1067 188 28
c1068 268 96
c1069 188 42
c1070 228 92
c1071 188 48
c1072 148 28
c1073 248 135
c1074 168 102
c1075 208 85
c1076 268 90
c1077 148 123
c1078 168 93
c1079 148 97
c1080 188 99
c1081 268 165
c1082 168 149
c1083 188 129
c1084 248 193
c1085 308 191
